name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Artur_Boruc_73,0,0,0,0,0.0,73,42,0,0,0.0,0.0,2019-09-15T13:00:00Z,0,8,0,0,0,0,5,0,22299,1,3,0.0,0,-408,1280,1688,44,True,0,5
Ashley_Barnes_90,0,0,-2,0,1.3,90,43,1,0,0.2,0.0,2019-09-14T14:00:00Z,90,4,0,0,0,0,5,0,760072,1,1,1.0,2,89304,232601,143297,67,False,0,5
Ashley_Westwood_101,0,0,9,0,32.4,101,43,1,0,4.7,11.0,2019-09-14T14:00:00Z,90,4,0,0,0,0,5,0,35843,1,1,4.0,1,-2280,2312,4592,54,False,1,5
Ashley_Young_224,0,0,25,1,29.7,224,45,0,0,5.2,22.0,2019-09-14T14:00:00Z,90,9,0,0,0,0,5,0,25323,0,1,0.0,6,-222,2348,2570,54,True,0,5
Asmir_Begovic_72,0,0,0,0,0.0,72,42,0,0,0.0,0.0,2019-09-15T13:00:00Z,0,8,0,0,0,0,5,0,113474,1,3,0.0,0,-23677,968,24645,44,True,0,5
Axel_Tuanzebe_481,0,0,3,0,0.0,481,45,0,0,0.0,0.0,2019-09-14T14:00:00Z,1,9,0,0,0,0,5,0,8449,0,1,0.0,1,-133,669,802,44,True,0,5
Aymeric_Laporte_202,0,0,0,0,0.0,202,46,0,0,0.0,0.0,2019-09-14T16:30:00Z,0,14,0,0,0,0,5,0,253882,2,3,0.0,0,-287375,1917,289292,64,False,0,5
Ayoze_Pérez_265,0,0,4,0,2.8,265,45,0,0,2.1,10.6,2019-09-14T14:00:00Z,33,12,0,0,0,0,5,0,337050,0,1,8.0,1,-183460,1919,185379,62,False,0,5
Bailey_Peacock-Farrell_495,0,0,0,0,0.0,495,43,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,4,0,0,0,0,5,0,5330,1,1,0.0,0,-100,172,272,45,False,0,5
Bamidele_Alli_344,0,0,0,0,0.0,344,48,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,7,0,0,0,0,5,0,26689,0,4,0.0,0,2663,4319,1656,84,True,0,5
Benjamin_Chilwell_161,0,0,6,0,4.5,161,45,1,0,2.6,12.8,2019-09-14T14:00:00Z,90,12,0,0,0,0,5,0,251028,0,1,9.0,1,11774,24559,12785,54,False,1,5
Benjamin_Mendy_204,0,0,0,0,0.0,204,46,0,0,0.0,0.0,2019-09-14T16:30:00Z,0,14,0,0,0,0,5,0,13316,2,3,0.0,0,-1018,529,1547,59,False,0,5
Ben_Davies_329,0,0,5,0,0.4,329,48,0,0,0.8,5.8,2019-09-14T14:00:00Z,14,7,0,0,0,0,5,0,10709,0,4,2.0,1,-61,1120,1181,55,True,0,5
Ben_Foster_366,0,0,12,0,0.0,366,49,2,0,1.7,17.0,2019-09-15T15:30:00Z,90,1,0,0,0,0,5,2,127637,2,2,0.0,1,-9835,2311,12146,49,True,0,5
