first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Niall,Huggins,0,0,1,37,0,0.9,2.6,2.0,0,4,0.6,0,0,0,0.1,45,FWD
Charlie,Cresswell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Joe,Gelhardt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Gaetano,Berardi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
James,Milner,0,2,39,829,7,216.3,161.6,76.0,2,182,45.5,4,0,1,0.1,53,MID
Konstantinos,Tsimikas,0,0,1,5,0,0.1,0.0,0.0,0,2,0.0,0,0,0,0.0,49,DEF
Georginio,Wijnaldum,2,1,79,2357,34,313.6,317.6,238.0,3,395,86.8,7,0,1,1.2,53,MID
Jordan,Henderson,1,2,56,1704,23,262.3,358.0,108.0,2,345,72.9,4,0,0,0.9,54,MID
Adrián,San Miguel del Castillo,0,0,11,270,9,0.0,59.6,0.0,2,60,5.9,1,0,0,0.4,42,GK
Joel,Matip,1,2,42,690,5,42.4,179.0,84.0,5,194,30.6,3,0,2,0.4,54,DEF
Xherdan,Shaqiri,0,2,24,516,7,241.1,82.8,80.0,1,108,40.4,2,0,2,0.1,64,MID
Alex,Oxlade-Chamberlain,0,1,12,221,5,32.8,35.6,34.0,0,31,10.2,0,0,0,0.0,63,MID
Roberto,Firmino,6,6,104,2222,33,437.9,491.8,1145.0,10,444,207.3,8,0,1,3.0,90,FWD
Virgil,van Dijk,1,0,15,370,11,4.8,82.4,66.0,1,73,15.3,1,0,1,6.2,62,DEF
Sadio,Mané,7,9,126,2257,26,601.6,590.6,1207.0,8,359,240.2,8,0,3,4.9,118,MID
Alisson,Ramses Becker,0,0,95,2250,26,0.1,536.2,0.0,8,465,53.6,7,0,1,5.9,59,GK
Fabio Henrique,Tavares,0,2,53,1846,23,70.3,355.4,21.0,2,318,45.0,8,0,5,0.8,54,MID
Mohamed,Salah,18,4,182,2432,35,614.8,838.0,1408.0,16,535,285.7,8,0,0,29.8,124,MID
Andrew,Robertson,1,5,120,2664,36,832.2,568.0,292.0,13,639,169.5,9,0,1,13.3,71,DEF
Divock,Origi,0,0,10,180,0,33.2,17.8,60.0,0,23,11.1,1,0,0,0.6,51,FWD
Harry,Wilson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,51,MID
Trent,Alexander-Arnold,1,4,106,2309,34,840.9,542.0,363.0,16,541,174.4,7,0,1,14.0,73,DEF
Joseph,Gomez,0,0,10,589,14,18.1,106.8,0.0,0,94,12.5,0,0,0,1.0,52,DEF
Naby,Keita,0,0,15,517,8,100.5,70.6,119.0,0,78,29.0,2,0,1,0.2,52,MID
Curtis,Jones,1,1,43,1081,12,212.4,201.4,289.0,0,194,70.4,5,0,2,0.8,44,MID
Neco,Williams,0,0,10,246,1,47.8,42.0,34.0,0,48,12.2,1,0,1,4.3,38,DEF
Harvey,Elliott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID
Diogo,Jota,8,0,69,727,12,122.7,321.0,381.0,9,210,82.5,2,0,2,11.3,69,MID
Thiago,Alcántara do Nascimento,0,0,30,1215,14,288.9,209.8,93.0,0,205,59.3,4,0,4,0.9,55,MID
Caoimhin,Kelleher,0,0,10,180,1,0.0,57.8,0.0,0,41,5.8,1,0,0,0.1,45,GK
Nathaniel,Phillips,0,0,35,915,7,36.1,203.4,58.0,0,178,29.8,4,0,2,1.5,40,DEF
Rhys,Williams,0,0,6,216,3,17.2,42.0,4.0,0,34,6.3,0,0,0,0.2,40,DEF
Leighton,Clarkson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jake,Cain,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Ozan,Kabak,0,0,21,533,6,4.9,84.8,11.0,1,114,10.1,3,0,2,0.4,50,DEF
Ben,Davies,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,DEF
Liam,Hughes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jakub,Ojrzynski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
